Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
3/31/1993,25.59444052615766,25.664997219544723,25.506244659423828,25.506244659423828,111600,31,2,13,3,1993
4/1/1993,25.541532655460482,25.541532655460482,25.36514085535371,25.418058395385742,129500,1,3,13,4,1993
4/2/1993,25.206386906808355,25.206386906808355,24.88888168334961,24.88888168334961,59400,2,4,13,4,1993
4/5/1993,25.082920171309933,25.082920171309933,24.941806696365852,25.01236343383789,172200,5,0,14,4,1993
4/6/1993,25.06528108,25.06528108,24.871250055466884,24.94180679321289,129700,6,1,14,4,1993
4/7/1993,24.977081234308933,25.029998779296875,24.92416368932099,25.029998779296875,28000,7,2,14,4,1993
4/8/1993,25.13582432194335,25.13582432194335,24.88887587246461,24.99471092224121,180800,8,3,14,4,1993
4/12/1993,25.24166287559557,25.365137117474795,25.206384520772936,25.347497940063477,348500,12,0,15,4,1993
4/13/1993,25.329856808980306,25.488609393437702,25.31221763292948,25.400413513183594,146100,13,1,15,4,1993
4/14/1993,25.418066100384497,25.435705285742152,25.347509358953864,25.365148544311523,119600,14,2,15,4,1993
4/15/1993,25.347509358953864,25.418066100384497,25.259313432165577,25.365148544311523,148600,15,3,15,4,1993
4/16/1993,25.38278772966918,25.418066100384497,25.32987017359621,25.365148544311523,47900,16,4,15,4,1993
4/19/1993,25.36514486547289,25.435701596670313,25.241670585877404,25.259309768676758,157000,19,0,16,4,1993
4/20/1993,25.224020077889424,25.259298427648712,24.977071629574425,25.13582420349121,279500,20,1,16,4,1993
4/21/1993,25.18874557,25.18874557,25.047632147756854,25.118188858032227,67900,21,2,16,4,1993
4/22/1993,25.012365650486302,25.22403588166108,24.800695419311523,24.800695419311523,97700,22,3,16,4,1993
4/23/1993,24.747758902141026,24.818315591812134,24.65956304005214,24.694841384887695,106000,23,4,16,4,1993
4/26/1993,24.712478769520704,24.80067463,24.430252031253517,24.500808715820312,62600,26,0,17,4,1993
4/27/1993,24.465552821797864,24.765419006347656,24.465552821797864,24.765419006347656,156800,27,1,17,4,1993
4/28/1993,24.73012926100323,24.7830468,24.677211723354866,24.71249008178711,85900,28,2,17,4,1993
4/29/1993,24.765409408601872,24.818326950073242,24.624295964678215,24.818326950073242,85000,29,3,17,4,1993
4/30/1993,24.906524723180226,24.99472063225664,24.853607177734375,24.853607177734375,88500,30,4,17,4,1993
5/3/1993,24.888889143261824,25.01236343383789,24.783054037053766,25.01236343383789,80500,3,0,18,5,1993
5/4/1993,25.06526753337804,25.188741757680393,25.029989183577367,25.10054588317871,149100,4,1,18,5,1993
5/5/1993,25.10052871,25.25928117181341,25.10052871,25.171085357666016,109000,5,2,18,5,1993
5/6/1993,25.13582615912715,25.15346533537917,25.065269454119072,25.082908630371094,54700,6,3,18,5,1993
5/7/1993,25.100555505947465,25.100555505947465,24.99472041597158,25.029998779296875,68000,7,4,18,5,1993
5/10/1993,25.065269454119072,25.224022040387243,25.065269454119072,25.082908630371094,113900,10,0,19,5,1993
5/11/1993,25.082910433536817,25.188745498657227,25.012353723456545,25.188745498657227,42600,11,1,19,5,1993
5/12/1993,25.082923782156026,25.171119716692438,25.082923782156026,25.153480529785156,31000,12,2,19,5,1993
5/13/1993,25.047638177702492,25.047638177702492,24.83596799591909,24.853607177734375,129100,13,3,19,5,1993
5/14/1993,24.85360147329894,24.924158184365794,24.818323117765512,24.835962295532227,63500,14,4,19,5,1993
5/17/1993,24.90652654260418,24.924165725708008,24.800691443981215,24.924165725708008,34000,17,0,20,5,1993
5/18/1993,24.94179538154062,24.95943455790663,24.818321146978537,24.906517028808594,105200,18,1,20,5,1993
5/19/1993,24.906522175076105,25.418058395385742,24.74776955498001,25.418058395385742,50200,19,2,20,5,1993
5/20/1993,25.418054512050325,25.488611221313477,25.365136980102964,25.488611221313477,98200,20,3,20,5,1993
5/21/1993,25.506258327867734,25.541536693466444,25.241670585877404,25.259309768676758,221400,21,4,20,5,1993
5/24/1993,25.31223098823855,25.45334447109981,25.31223098823855,25.365148544311523,30500,24,0,21,5,1993
5/25/1993,25.470975935417773,25.470975935417773,25.418058395385742,25.418058395385742,191800,25,1,21,5,1993
5/26/1993,25.488616650524495,25.753204366619904,25.470977469451466,25.735565185546875,102400,26,2,21,5,1993
5/27/1993,25.770828320530782,25.770828320530782,25.61207578467536,25.647354125976562,53800,27,3,21,5,1993
5/28/1993,25.62971885960598,25.62971885960598,25.400409606216524,25.523883819580078,79100,28,4,21,5,1993
6/1/1993,25.612085189662675,25.85903366945281,25.57680683540694,25.770837783813477,28300,1,1,22,6,1993
6/2/1993,25.70028682340082,25.82376109091201,25.594451736962657,25.735565185546875,20300,2,2,22,6,1993
6/3/1993,25.68263246727777,25.68263246727777,25.594436614024755,25.647354125976562,21600,3,3,22,6,1993
6/4/1993,25.57680894787185,25.57680894787185,25.453334697778676,25.55916976928711,32000,4,4,22,6,1993
6/7/1993,25.61209315144124,25.61209315144124,25.470979690551758,25.470979690551758,121400,7,0,23,6,1993
6/8/1993,25.40040981844536,25.40040981844536,25.241657257080078,25.241657257080078,104500,8,1,23,6,1993
6/9/1993,25.32984161376953,25.435676606584725,25.29456328283113,25.32984161376953,43300,9,2,23,6,1993
6/10/1993,25.31221958524084,25.365137117474795,25.259302053006888,25.347497940063477,17900,10,3,23,6,1993
6/11/1993,25.435684193527212,25.488601705719017,25.347488339874204,25.453323364257812,647400,11,4,23,6,1993
6/14/1993,25.48861511542845,25.506254295439128,25.418058395385742,25.418058395385742,64200,14,0,24,6,1993
6/15/1993,25.45334447109981,25.470983656457467,25.365148544311523,25.365148544311523,142400,15,1,24,6,1993
6/16/1993,25.36514085535371,25.418058395385742,25.294584135311002,25.418058395385742,330900,16,2,24,6,1993
6/17/1993,25.470966312730297,25.506244659423828,25.418048792689998,25.506244659423828,37400,17,3,24,6,1993
6/18/1993,25.491615446765774,25.491615446765774,25.29620933532715,25.29620933532715,58500,18,4,24,6,1993
6/21/1993,25.36724957771542,25.36724957771542,25.313957036585766,25.349485397338867,29300,21,0,25,6,1993
6/22/1993,25.385026075592894,25.385026075592894,25.33173350860425,25.36726188659668,137500,22,1,25,6,1993
6/23/1993,25.367264128236805,25.367264128236805,25.136329650878906,25.136329650878906,227600,23,2,25,6,1993
6/24/1993,25.207385494120448,25.473848342895508,25.207385494120448,25.473848342895508,243700,24,3,25,6,1993
6/25/1993,25.45610237121582,25.527159181742594,25.438338168584128,25.45610237121582,44800,25,4,25,6,1993
6/28/1993,25.580442440435753,25.740320205688477,25.54491404815737,25.740320205688477,439900,28,0,26,6,1993
6/29/1993,25.70478010772832,25.70478010772832,25.58043079138133,25.61595916748047,207500,29,1,26,6,1993
6/30/1993,25.65148754357961,25.70478010772832,25.58043079138133,25.61595916748047,437600,30,2,26,6,1993
7/1/1993,25.651499423264465,25.651499423264465,25.50938585305247,25.54491424560547,605700,1,3,26,7,1993
